Year,Category,Name,Location,Province,Coordinates
2022,Power Plants,PT PLN Batam - PLTGU Tanjung Uncang,"Batam, Riau Islands",ID-KR,"[1.089784, 103.901721]"
2022,Power Plants,PT PLN Nusantara Power - PLTA Cirata,"Purwakarta, West Java",ID-JB,"[-6.680260, 107.344934]"
2022,Power Plants,PT PLN Indonesia Power - PLTA Saguling,"Bandung, West Java",ID-JB,"[-6.864424, 107.349921]"
2022,Power Plants,PT PLN Nusantara Power - PLTGU Gresik,"Gresik, East Java",ID-JI,"[-7.163083, 112.661575]"
2022,Power Plants,PT PLN Indonesia Power - PLTGU Grati,"Pasuruan, East Java",ID-JI,"[-7.651321, 113.024503]"
2022,Power Plants,PT PLN (Persero) - PLTU Tanjung Jati B,"Jepara, Central Java",ID-JT,"[-6.44446406894992, 110.75255738319555]"
2022,Power Plants,PT PLN Batam - PLTG MPP Tarahan,Lampung,ID-LA,"[-5.518636, 105.345846]"
2022,Power Plants,PT PLN Batam - PLTMG Panaran,"Batam, Riau Islands",ID-KR,"[1.0156358691432237, 104.00832375244366]"
2022,Power Plants,PT PLN Batam - PLTG MPP Paya Pasir Medan,"Medan, North Sumatra",ID-SU,"[3.7135686982179306, 98.66441319477774]"
2022,Power Plants,PT PLN Batam - PLTG MPP Air Anyir,"Bangka, Bangka Belitung Islands",ID-BB,"[-2.076746, 106.148752]"
2023,Power Plants,PT PLN Nusantara Power - PLTGU Sengkang,"Wajo, South Sulawesi",ID-SN,"[-4.176319, 120.072185]"
2023,Power Plants,PT PLN Indonesia Power - PLTU Asam Asam,"Tanah Laut, South Kalimantan",ID-KS,"[-3.926370, 115.105159]"
2023,Power Plants,PT PLN Indonesia Power - PLTU Barru,"Barru, South Sulawesi",ID-SN,"[-4.292893, 119.631042]"
2023,Power Plants,PT PLN Indonesia Power - PLTA Saguling,"Bandung, West Java",ID-JB,"[-6.864424, 107.349921]"
2023,Power Plants,PT PLN Indonesia Power - PLTA PB Soedirman (PLTA Mrica),"Banjarnegara, Central Java",ID-JT,"[-7.39456, 109.60559]"
2023,Power Plants,PT PLN Nusantara Power - PLTU Paiton Unit 9,"Probolinggo, East Java",ID-JI,"[-7.711173, 113.570611]"
2023,Power Plants,PT PLN Nusantara Power - PLTU Punagaya (Takalar),"Jeneponto, South Sulawesi",ID-SN,"[-5.623461553889898, 119.54963494789013]"
2023,Power Plants,PT PLN Nusantara Power - PLTGU Muara Karang Unit 2,Jakarta,ID-JK,"[-6.111365, 106.783763]"
2023,Power Plants,PT PLN Batam - PLTG Parit Baru,"Mempawah, West Kalimantan",ID-KB,"[0.058535822510605275, 109.20364392731607]"
2023,Power Plants,PT PLN Batam - PLTG Balai Pungut,"Bengkalis, Riau",ID-RI,"[1.071916, 101.282082]"
2023,Power Plants,PT PLN Batam - PLTG MPP Tarahan,Lampung,ID-LA,"[-5.518636, 105.345846]"
2023,Transmission & Distribution,PT PLN (Persero) - GITET Balaraja,"Tangerang, Banten",ID-BT,"[-6.109975, 106.781392]"
2023,Transmission & Distribution,PT PLN (Persero) - GITET Cilegon Baru,"Cilegon, Banten",ID-BT,"[-6.026151, 106.101626]"
2023,Transmission & Distribution,PT PLN (Persero) - GISTET Cawang,Jakarta,ID-JK,"[-6.343712, 106.787438]"
2023,Transmission & Distribution,PT PLN (Persero) - GITET Ngimbang,"Lamongan, East Java",ID-JI,"[-7.286708, 112.189493]"
2023,Transmission & Distribution,PT PLN Batam - GI Sei Baloi,"Batam, Riau Islands",ID-KR,"[1.1159325421128132, 104.02130871197141]"
2023,Petrochemical,PT Petrokimia Gresik,"Gresik, East Java",ID-JI,"[-7.143540886173528, 112.63894108711997]"
2023,Power Plants,PT PLN Batam - PLTG MPP Jeranjang Lombok,"Lombok, West Nusa Tenggara",ID-NB,"[-8.660144, 116.073727]"
2023,Power Plants,PT PLN Batam - PLTG MPP Suge Belitung,"Belitung, Bangka Belitung Islands",ID-BB,"[-2.8906054005142856, 107.56515975986635]"
2023,Power Plants,PT PLN Batam - PLTG MPP Air Anyir,"Bangka, Bangka Belitung Islands",ID-BB,"[-2.076746, 106.148752]"
2023,Power Plants,PT PLN Batam - PLTGU Tanjung Uncang,"Batam, Riau Islands",ID-KR,"[1.089784, 103.901721]"
2024,Power Plants,PT PLN Batam - PLTG MPP Air Anyir,"Bangka, Bangka Belitung Islands",ID-BB,"[-2.076746, 106.148752]"
2024,Power Plants,PT PLN Batam - PLTG MPP Jeranjang Lombok,"Lombok, West Nusa Tenggara",ID-NB,"[-8.660144, 116.073727]"
2024,Power Plants,PT PLN Batam - PLTG MPP Tello,"Makassar, South Sulawesi",ID-SN,"[-5.085060, 119.281884]"
2024,Power Plants,PT PLN Batam - PLTG MPP Suppa,"Pinrang, South Sulawesi",ID-SN,"[-3.970387, 119.624919]"
2024,Power Plants,PT Bukit Pembangkit Innovative - PLTU Banjarsari,"Lahat, South Sumatra",ID-SS,"[-3.722642503364875, 103.68931913332224]"
2024,Power Plants,PT PLN Indonesia Power - PLTU Pelabuhan Ratu 1-3,"Sukabumi, West Java",ID-JB,"[-6.990662885795465, 106.54625141060635]"
2024,Power Plants,PT PLN Nusantara Power - PLTU Paiton 1-2,"Probolinggo, East Java",ID-JI,"[-8.258106, 111.373877]"
